,Unnamed: 0,Rubrik,Eintrag,Miete,Größe,Stadtteil,frei ab,frei bis,Unnamed: 8,Lease term,EUR / SQM
0,,,22.04.2023,800.0,35.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,22.857142857142858
1,,,22.04.2023,700.0,50.0,Wohnungen von Spotahome*,2023-04-23,,,,14.0
2,,2.0,22.04.2023,1000.0,60.0,Berlin,2023-06-01,,,,16.666666666666668
3,,,22.04.2023,280.0,39.0,Berlin  Weißensee,2023-05-01,2023-05-08,,0.0,7.17948717948718
4,,,22.04.2023,1100.0,35.0,Berlin  Mitte,2023-05-05,2023-06-25,,1.0,31.428571428571427
5,,1.0,22.04.2023,650.0,40.0,Berlin  Treptow,2023-05-01,,,,16.25
6,,,22.04.2023,800.0,38.0,Berlin  Wilmersdorf,2023-06-03,2023-06-16,,0.0,21.05263157894737
7,,1.0,22.04.2023,40.0,62.0,Berlin  Neukölln,2023-04-23,2023-05-10,,1.0,0.6451612903225806
8,,4.0,22.04.2023,2150.0,100.0,Berlin  Prenzlauer Berg,2023-05-18,2023-06-06,,1.0,21.5
9,,2.0,22.04.2023,450.0,52.0,Berlin  Wedding/Reinickendorf,2023-05-03,2023-05-08,,0.0,8.653846153846153
10,,2.0,22.04.2023,1080.0,49.0,Berlin  Mitte,2023-04-24,2023-05-14,,1.0,22.040816326530614
11,,2.0,22.04.2023,1399.0,48.0,Berlin  Berlin,2023-04-21,,,,29.145833333333332
12,,3.0,22.04.2023,2000.0,74.0,Berlin  Reinickendorf,2023-10-01,,,,27.027027027027028
13,,2.0,22.04.2023,1300.0,70.0,Berlin  Neukölln,2023-04-25,2023-06-23,,2.0,18.571428571428573
14,,3.0,22.04.2023,600.0,105.0,Berlin  Friedrichshain,2023-05-04,2023-05-09,,0.0,5.714285714285714
15,,,22.04.2023,1199.0,32.0,Berlin  Lichtenberg,2023-04-24,,,,37.46875
16,,2.0,22.04.2023,800.0,55.0,Berlin  Kreuzberg,2023-05-03,2023-09-25,,4.0,14.545454545454545
17,,2.0,22.04.2023,1600.0,55.0,Berlin  Neukölln,2023-06-01,2024-05-31,,11.0,29.09090909090909
18,,3.0,22.04.2023,841.0,67.0,Berlin  Prenzlauer Berg,2023-07-15,,,,12.552238805970148
19,,2.0,22.04.2023,500.0,70.0,Berlin  Neukölln,2023-04-28,2023-05-04,,1.0,7.142857142857143
20,,1.0,22.04.2023,1600.0,55.0,Berlin,2023-05-01,2023-05-31,,0.0,29.09090909090909
21,,,22.04.2023,600.0,36.0,Berlin  Neukölln,2023-04-27,2023-05-22,,1.0,16.666666666666668
22,,,,,,,,,,,
0,,,22.04.2023,770.0,40.0,Wohnungen von HousingAnywhere*,2023-04-23,,,,19.25
