,Unnamed: 0.1,Unnamed: 0,Bewohner,Eintrag,Miete,Größe,Stadtteil,frei ab,frei bis,Unnamed: 8,Lease term,EUR / SQM,Name,Neighbourhood,frei bis (Year - Month),Latitude,Longitude
0,0,,,23.04.2023,490.0,21,Zimmer von HousingAnywhere*,2023-04-24,,,,23.333333333333332,23.04.2023-490.0-23.333333333333332 Zimmer von HousingAnywhere*,Berlin,,52.5170365,13.3888599
1,1,,,23.04.2023,460.0,14,Zimmer von Spotahome*,2023-04-24,,,,32.857142857142854,23.04.2023-460.0-32.857142857142854 Zimmer von Spotahome*,Berlin,,52.5170365,13.3888599
2,2,,,23.04.2023,599.0,17,Berlin  Lichterfelde,2023-06-01,,,,35.23529411764706,23.04.2023-599.0-35.23529411764706 Berlin  Lichterfelde,Lichterfelde,,52.437293,13.3138645
3,3,,,23.04.2023,150.0,30,Berlin  Wedding,2023-05-01,2023-06-18,,1.0,5.0,23.04.2023-150.0-5.0 Berlin  Wedding,Wedding,2023-06,52.550123,13.34197
4,4,,,23.04.2023,900.0,28,Berlin  Neukölln,2023-05-01,2023-06-02,,1.0,32.142857142857146,23.04.2023-900.0-32.142857142857146 Berlin  Neukölln,Neukölln,2023-06,52.4811497,13.4353501
5,5,,,23.04.2023,550.0,21,Berlin  Prenzlauer Berg,2023-04-27,,,,26.19047619047619,23.04.2023-550.0-26.19047619047619 Berlin  Prenzlauer Berg,Prenzlauer Berg,,52.5398466,13.4285652
6,6,,,23.04.2023,500.0,11,Berlin  Charlottenburg,2023-05-01,,,,45.45454545454545,23.04.2023-500.0-45.45454545454545 Berlin  Charlottenburg,Charlottenburg,,52.515747,13.3096834
7,7,,,23.04.2023,100.0,30,Berlin  Britz,2023-04-09,2023-06-30,,2.0,3.3333333333333335,23.04.2023-100.0-3.3333333333333335 Berlin  Britz,Berlin,2023-06,52.5170365,13.3888599
8,8,,,23.04.2023,650.0,22,Berlin  Charlottenburg,2023-04-23,2023-09-01,,5.0,29.545454545454547,23.04.2023-650.0-29.545454545454547 Berlin  Charlottenburg,Charlottenburg,2023-09,52.515747,13.3096834
9,9,,,23.04.2023,12.0,18,Berlin  Friedrichshain,2023-05-03,2023-07-30,,2.0,0.6666666666666666,23.04.2023-12.0-0.6666666666666666 Berlin  Friedrichshain,Friedrichshain,2023-07,52.5122154,13.4502904
10,10,,,23.04.2023,390.0,8,Berlin  Charlottenburg,2023-04-24,,,,48.75,23.04.2023-390.0-48.75 Berlin  Charlottenburg,Charlottenburg,,52.515747,13.3096834
11,11,,,23.04.2023,445.0,11,Berlin  Friedrichshain,2023-04-27,2024-01-31,,9.0,40.45454545454545,23.04.2023-445.0-40.45454545454545 Berlin  Friedrichshain,Friedrichshain,2024-01,52.5122154,13.4502904
12,12,,,23.04.2023,1300.0,15,Berlin  Prenzlauer Berg,2023-05-01,,,,86.66666666666667,23.04.2023-1300.0-86.66666666666667 Berlin  Prenzlauer Berg,Prenzlauer Berg,,52.5398466,13.4285652
13,13,,,23.04.2023,890.0,15,Berlin  Mitte,2023-05-01,,,,59.333333333333336,23.04.2023-890.0-59.333333333333336 Berlin  Mitte,Mitte,,52.5178855,13.4040601
14,14,,,23.04.2023,550.0,18,Berlin  Neukölln,2023-06-01,,,,30.555555555555557,23.04.2023-550.0-30.555555555555557 Berlin  Neukölln,Neukölln,,52.4811497,13.4353501
15,15,,,23.04.2023,520.0,12,Berlin  Lichtenberg Grenze zum Frie...,2023-06-18,2023-08-26,,2.0,43.333333333333336,23.04.2023-520.0-43.333333333333336 Berlin  Lichtenberg Grenze zum Frie...,Lichtenberg,2023-08,48.9212959,7.4812268
