,index,Link,Posting Date,Location,City,Neighbourhood (Dirty),Address,Price,Pure rent,Service Charge,Other Charge,Size,Date From,Date To,DataFrame,Deposit
0,10130394,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg.10130394.html,31.05.2023,Zimmer von HousingAnywhere*,Zimmervon HousingAnywhere*,Zimmervon HousingAnywhere*,Muster Str. 1,570 €,5000,5000,5000,25m²,01.06.2023,,20230424,5000
1,10053873,www.wg-gesucht.de/wg-zimmer-in-Berlin-schoeneberg.10053873.html,31.05.2023,Zimmer von Spotahome*,Zimmervon Spotahome*,Zimmervon Spotahome*,Muster Str. 1,530 €,5000,5000,5000,25m²,01.06.2023,,20230424,5000
2,10130337,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wedding.10130337.html,31.05.2023,"Berlin
                                                                    Charlottenburg",Berlin,                                                                   Charlottenburg,Muster Str. 1,800€,5000,5000,5000,20m²,01.07.2023,01.09.2024,20230424,5000
3,9276242,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.9276242.html,31.05.2023,"Berlin
                                                                    schöneberg",Berlin,                                                                   schöneberg,Muster Str. 1,600€,5000,5000,5000,23m²,15.06.2023,15.06.2024,20230424,5000
4,9209137,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.9209137.html,31.05.2023,"Berlin
                                                                    Wedding",Berlin,                                                                   Wedding,Muster Str. 1,550€,5000,5000,5000,12m²,01.06.2023,30.06.2023,20230424,5000
5,10130422,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130422.html,31.05.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,850€,5000,5000,5000,12m²,01.06.2023,,20230424,5000
6,10130419,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130419.html,31.05.2023,"Berlin
                                                                    Friedrichshain",Berlin,                                                                   Friedrichshain,Muster Str. 1,380€,5000,5000,5000,19m²,01.06.2023,14.07.2023,20230424,5000
7,10034757,www.wg-gesucht.de/wg-zimmer-in-Berlin-Spandau.10034757.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,860€,5000,5000,5000,16m²,04.06.2023,,20230424,5000
8,10130418,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.10130418.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,860€,5000,5000,5000,12m²,04.06.2023,,20230424,5000
9,10130259,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.10130259.html,31.05.2023,"Berlin
                                                                    Spandau",Berlin,                                                                   Spandau,Muster Str. 1,660€,5000,5000,5000,20m²,02.09.2023,30.03.2024,20230424,5000
10,7992450,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.7992450.html,31.05.2023,"Berlin
                                                                    Schöneberg",Berlin,                                                                   Schöneberg,Muster Str. 1,870€,5000,5000,5000,16m²,03.06.2023,,20230424,5000
11,10128279,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.10128279.html,31.05.2023,"Berlin
                                                                    Neukölln",Berlin,                                                                   Neukölln,Muster Str. 1,680€,5000,5000,5000,10m²,01.07.2023,,20230424,5000
12,9249650,www.wg-gesucht.de/wg-zimmer-in-Berlin.9249650.html,31.05.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,760€,5000,5000,5000,14m²,31.05.2023,01.04.2024,20230424,5000
13,10130412,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichsfelde.10130412.html,31.05.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,250€,5000,5000,5000,29m²,28.06.2023,04.07.2023,20230424,5000
14,10130409,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130409.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,600€,5000,5000,5000,26m²,01.07.2023,,20230424,5000
15,3145866,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.3145866.html,31.05.2023,"Berlin
                                                                    Friedrichsfelde",Berlin,                                                                   Friedrichsfelde,Muster Str. 1,875€,5000,5000,5000,10m²,12.06.2023,,20230424,5000
16,10085527,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.10085527.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,875€,5000,5000,5000,17m²,04.06.2023,,20230424,5000
17,10130405,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130405.html,31.05.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,380€,5000,5000,5000,22m²,10.06.2023,30.06.2023,20230424,5000
18,10130404,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130404.html,31.05.2023,"Berlin
                                                                    Schöneberg",Berlin,                                                                   Schöneberg,Muster Str. 1,600€,5000,5000,5000,18m²,07.06.2023,12.08.2023,20230424,5000
19,4044959,www.wg-gesucht.de/wg-zimmer-in-Berlin-Steglitz-Zehlendorf.4044959.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,885€,5000,5000,5000,10m²,19.06.2023,,20230424,5000
20,10088141,www.wg-gesucht.de/wg-zimmer-in-Berlin-Marienfelde.10088141.html,31.05.2023,Zimmer von HousingAnywhere*,Zimmervon HousingAnywhere*,Zimmervon HousingAnywhere*,Muster Str. 1,680 €,5000,5000,5000,24m²,01.06.2023,,20230424,5000
21,10130402,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130402.html,31.05.2023,Zimmer von Spotahome*,Zimmervon Spotahome*,Zimmervon Spotahome*,Muster Str. 1,600 €,5000,5000,5000,25m²,01.06.2023,,20230424,5000
22,10130401,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130401.html,31.05.2023,"Berlin
                                                                    Marienfelde",Berlin,                                                                   Marienfelde,Muster Str. 1,530€,5000,5000,5000,13m²,01.06.2023,,20230424,5000
23,10130396,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130396.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,885€,5000,5000,5000,9m²,04.06.2023,,20230424,5000
24,9670116,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.9670116.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,885€,5000,5000,5000,8m²,19.06.2023,,20230424,5000
25,9974479,www.wg-gesucht.de/wg-zimmer-in-Berlin-Mitte.9974479.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,900€,5000,5000,5000,11m²,22.06.2023,,20230424,5000
26,10130390,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130390.html,31.05.2023,"Berlin
                                                                    Friedrichshain-Kreuzberg",Berlin,                                                                   Friedrichshain-Kreuzberg,Muster Str. 1,350€,5000,5000,5000,17m²,01.06.2023,14.07.2023,20230424,5000
27,10130386,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130386.html,31.05.2023,"Berlin
                                                                    Mitte",Berlin,                                                                   Mitte,Muster Str. 1,750€,5000,5000,5000,14m²,31.05.2023,,20230424,5000
28,9657249,www.wg-gesucht.de/wg-zimmer-in-Berlin-Steglitz.9657249.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,910€,5000,5000,5000,10m²,19.06.2023,,20230424,5000
29,10080841,www.wg-gesucht.de/wg-zimmer-in-Berlin-Steglitz.10080841.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,925€,5000,5000,5000,11m²,19.06.2023,,20230424,5000
30,10130385,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130385.html,31.05.2023,"Berlin
                                                                    Steglitz",Berlin,                                                                   Steglitz,Muster Str. 1,660€,5000,5000,5000,27m²,21.06.2023,21.09.2023,20230424,5000
31,10130383,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130383.html,31.05.2023,"Berlin
                                                                    Steglitz",Berlin,                                                                   Steglitz,Muster Str. 1,660€,5000,5000,5000,26m²,21.06.2023,21.08.2023,20230424,5000
32,10130381,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130381.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,935€,5000,5000,5000,13m²,04.06.2023,,20230424,5000
33,8663749,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.8663749.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,935€,5000,5000,5000,15m²,04.06.2023,,20230424,5000
34,10130378,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.10130378.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,935€,5000,5000,5000,14m²,04.06.2023,,20230424,5000
35,10130377,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130377.html,31.05.2023,"Berlin
                                                                    Neukölln",Berlin,                                                                   Neukölln,Muster Str. 1,23€,5000,5000,5000,23m²,01.06.2023,02.07.2023,20230424,5000
36,10130373,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130373.html,31.05.2023,"Berlin
                                                                    Schöneberg",Berlin,                                                                   Schöneberg,Muster Str. 1,950€,5000,5000,5000,18m²,19.06.2023,,20230424,5000
37,9056521,www.wg-gesucht.de/wg-zimmer-in-Berlin-Steglitz.9056521.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,950€,5000,5000,5000,17m²,04.06.2023,,20230424,5000
38,10130372,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130372.html,31.05.2023,Berlin,Berlin,Berlin,Muster Str. 1,960€,5000,5000,5000,10m²,04.06.2023,,20230424,5000
39,10130370,www.wg-gesucht.de/wg-zimmer-in-Berlin.10130370.html,31.05.2023,"Berlin
                                                                    Steglitz",Berlin,                                                                   Steglitz,Muster Str. 1,780€,5000,5000,5000,23m²,31.05.2023,30.09.2024,20230424,5000
40,10128406,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.10128406.html,31.05.2023,Zimmer von HousingAnywhere*,Zimmervon HousingAnywhere*,Zimmervon HousingAnywhere*,Muster Str. 1,680 €,5000,5000,5000,16m²,01.06.2023,,20230424,5000
41,9844831,www.wg-gesucht.de/wg-zimmer-in-Berlin.9844831.html,31.05.2023,Zimmer von Spotahome*,Zimmervon Spotahome*,Zimmervon Spotahome*,Muster Str. 1,620 €,5000,5000,5000,16m²,01.06.2023,,20230424,5000
