Posting Date,Pure Rent,Size,Date From,Date To,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
12.04.2023,940,35,2023-04-13,,,26.85714286,12.04.2023-940.0-26.857142857142858 Wohnungen von HousingAnywhere*,Berlin,,52.5170365,13.3888599
12.04.2023,880,35,2023-04-13,,,25.14285714,12.04.2023-880.0-25.142857142857142 Wohnungen von Spotahome*,Berlin,,52.5170365,13.3888599
12.04.2023,1750,47,2023-05-02,2023-06-30,1,37.23404255,12.04.2023-1750.0-37.234042553191486 Berlin  mitte,mitte,2023-06,52.5178855,13.4040601
12.04.2023,1980,65,2023-07-14,2023-08-20,1,30.46153846,12.04.2023-1980.0-30.46153846153846 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-08,52.5398466,13.4285652
12.04.2023,1400,48,2023-04-01,,,29.16666667,12.04.2023-1400.0-29.166666666666668 Berlin  Berlin,Berlin,,52.5170365,13.3888599
12.04.2023,400,50,2023-05-05,2023-05-19,0,8,12.04.2023-400.0-8.0 Berlin  Kreuzberg,Kreuzberg,2023-05,52.4976443,13.411914
12.04.2023,1890,68,2023-05-03,2024-04-30,11,27.79411765,12.04.2023-1890.0-27.794117647058822 Berlin  Friedrichshain-Kreuzberg,Friedrichshain,2024-04,52.5122154,13.4502904
12.04.2023,1040,46,2023-05-01,2024-04-30,11,22.60869565,12.04.2023-1040.0-22.608695652173914 Berlin  Friedrichshain,Friedrichshain,2024-04,52.5122154,13.4502904
12.04.2023,200,30,2023-04-20,2023-04-27,0,6.666666667,12.04.2023-200.0-6.666666666666667 Berlin  Friedrichshain,Friedrichshain,2023-04,52.5122154,13.4502904
12.04.2023,1650,60,2023-05-01,2023-07-30,2,27.5,12.04.2023-1650.0-27.5 Berlin  Friedrichshain-Kreuzberg,Friedrichshain,2023-07,52.5122154,13.4502904
12.04.2023,800,53,2023-04-22,2023-05-13,1,15.09433962,12.04.2023-800.0-15.09433962264151 Berlin  Neukölln,Neukölln,2023-05,52.4811497,13.4353501
12.04.2023,1099,35,2023-04-13,,,31.4,12.04.2023-1099.0-31.4 Berlin,Berlin,,52.5170365,13.3888599
12.04.2023,2400,120,2023-06-01,,,20,12.04.2023-2400.0-20.0 Berlin  Hermsdorf,Hermsdorf,,50.897952,11.8567132
12.04.2023,860,62,2023-04-15,,,13.87096774,12.04.2023-860.0-13.870967741935484 Berlin  Hermsdorf,Hermsdorf,,50.897952,11.8567132
12.04.2023,800,63,2023-05-01,2023-05-15,0,12.6984127,12.04.2023-800.0-12.698412698412698 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-05,52.5398466,13.4285652
12.04.2023,1000,40,2023-04-24,2023-06-23,2,25,12.04.2023-1000.0-25.0 Berlin  Kreuzberg,Kreuzberg,2023-06,52.4976443,13.411914
12.04.2023,1950,106,2023-04-12,2025-04-11,24,18.39622642,12.04.2023-1950.0-18.39622641509434 Berlin  Charlottenburg,Charlottenburg,2025-04,52.515747,13.3096834
12.04.2023,1500,63,2023-04-14,2024-03-30,11,23.80952381,12.04.2023-1500.0-23.80952380952381 Berlin  Friedrichshain,Friedrichshain,2024-03,52.5122154,13.4502904
12.04.2023,275,63,2023-04-27,2023-05-01,1,4.365079365,12.04.2023-275.0-4.365079365079365 Berlin  Friedrichshain,Friedrichshain,2023-05,52.5122154,13.4502904
12.04.2023,1195,65,2023-06-01,2023-06-30,0,18.38461538,12.04.2023-1195.0-18.384615384615383 Berlin  Kreuzberg,Kreuzberg,2023-06,52.4976443,13.411914
12.04.2023,1190,24,2023-04-12,,,49.58333333,12.04.2023-1190.0-49.583333333333336 Berlin  Prenzlauer Berg,Prenzlauer Berg,,52.5398466,13.4285652
12.04.2023,580,35,2023-04-12,,,16.57142857,12.04.2023-580.0-16.571428571428573 Berlin  Pankow,Pankow,,52.5979174,13.435316
12.04.2023,890,45,2023-04-13,,,19.77777778,12.04.2023-890.0-19.77777777777778 Wohnungen von HousingAnywhere*,Berlin,,52.5170365,13.3888599
12.04.2023,850,35,2023-04-13,,,24.28571429,12.04.2023-850.0-24.285714285714285 Wohnungen von Spotahome*,Berlin,,52.5170365,13.3888599
12.04.2023,1350,38,2023-04-15,2023-09-30,5,35.52631579,12.04.2023-1350.0-35.526315789473685 Berlin  Friedrichshain,Friedrichshain,2023-09,52.5122154,13.4502904
12.04.2023,1999,68,2023-04-13,,,29.39705882,12.04.2023-1999.0-29.397058823529413 Berlin,Berlin,,52.5170365,13.3888599
