Data ID,Link,Posting Date,City,Address,Pure Rent,Service Charge,Other Charge,Total Cost,Size,Date From,Date To,Dataframe Date,Deposit,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
9670116,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.9670116.html,26.06.2023,Zimmervon HousingAnywhere*,Muster Str. 1,490,,,,19,2023-06-27,,20230424,5000,,25.78947368,26.06.2023-490.0-25.789473684210527 Zimmervon HousingAnywhere*,Berlin,,52.5170365,13.3888599
10174594,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.10174594.html,26.06.2023,Zimmervon Spotahome*,Muster Str. 1,480,,,,16,2023-06-27,,20230424,5000,,30,26.06.2023-480.0-30.0 Zimmervon Spotahome*,Berlin,,52.5170365,13.3888599
10188439,www.wg-gesucht.de/wg-zimmer-in-Berlin-Niederschoenhausen.10188439.html,26.06.2023,Berlin,Muster Str. 1,360,,,,17,2023-06-26,2024-03-30,20230424,5000,9,21.17647059,26.06.2023-360.0-21.176470588235293 Berlin,Friedrichshain,2024-03,52.5122154,13.4502904
10174590,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.10174590.html,26.06.2023,Berlin,Muster Str. 1,460,,,,15,2023-07-02,,20230424,5000,,30.66666667,26.06.2023-460.0-30.666666666666668 Berlin,Friedrichshain,,52.5122154,13.4502904
10165245,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wilmersdorf.10165245.html,26.06.2023,Berlin,Muster Str. 1,660,,,,15,2023-07-15,,20230424,5000,,44,26.06.2023-660.0-44.0 Berlin,Niederschönhausen,,52.5858062,13.401397
10174737,www.wg-gesucht.de/wg-zimmer-in-Berlin-Plaenterwald.10174737.html,26.06.2023,Berlin,Muster Str. 1,520,,,,20,2023-08-02,,20230424,5000,,26,26.06.2023-520.0-26.0 Berlin,Friedrichshain,,52.5122154,13.4502904
9928794,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.9928794.html,26.06.2023,Berlin,Muster Str. 1,700,,,,19,2023-06-26,2023-07-31,20230424,5000,1,36.84210526,26.06.2023-700.0-36.8421052631579 Berlin,Wilmersdorf,2023-07,52.4871152,13.3203298
9637948,www.wg-gesucht.de/wg-zimmer-in-Berlin-Blankenburg.9637948.html,26.06.2023,Berlin,Muster Str. 1,570,,,,20,2023-06-29,2023-09-15,20230424,5000,3,28.5,26.06.2023-570.0-28.5 Berlin,Berlin,2023-09,52.5170365,13.3888599
7891068,www.wg-gesucht.de/wg-zimmer-in-Berlin-Lichterfelde.7891068.html,26.06.2023,Berlin,Muster Str. 1,350,,,,20,2023-06-26,2023-09-30,20230424,5000,3,17.5,26.06.2023-350.0-17.5 Berlin,Friedrichshain,2023-09,52.5122154,13.4502904
9801883,www.wg-gesucht.de/wg-zimmer-in-Berlin-Pankow.9801883.html,26.06.2023,Berlin,Muster Str. 1,497,,,,12,2023-06-26,2024-09-10,20230424,5000,15,41.41666667,26.06.2023-497.0-41.416666666666664 Berlin,Blankenburg,2024-09,51.7902676,10.9551991
8702402,www.wg-gesucht.de/wg-zimmer-in-Berlin-Mitte.8702402.html,26.06.2023,Berlin,Muster Str. 1,320,,,,26,2023-07-01,,20230424,5000,,12.30769231,26.06.2023-320.0-12.307692307692308 Berlin,Lichterfelde,,52.437293,13.3138645
10196736,www.wg-gesucht.de/wg-zimmer-in-Berlin-Mitte.10196736.html,26.06.2023,Berlin,Muster Str. 1,1199,,,,30,2023-07-01,,20230424,5000,,39.96666667,26.06.2023-1199.0-39.96666666666667 Berlin,Pankow,,52.5979174,13.435316
6126245,www.wg-gesucht.de/wg-zimmer-in-Berlin-MITTE.6126245.html,26.06.2023,Berlin,Muster Str. 1,600,,,,12,2023-07-01,2023-10-31,20230424,5000,3,50,26.06.2023-600.0-50.0 Berlin,Mitte,2023-10,52.5178855,13.4040601
9672658,www.wg-gesucht.de/wg-zimmer-in-Berlin-Gropiusstadt.9672658.html,26.06.2023,Berlin,Muster Str. 1,1045,,,,14,2023-07-03,,20230424,5000,,74.64285714,26.06.2023-1045.0-74.64285714285714 Berlin,Mitte,,52.5178855,13.4040601
10198242,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.10198242.html,26.06.2023,Berlin,Muster Str. 1,650,,,,20,2023-06-26,,20230424,5000,,32.5,26.06.2023-650.0-32.5 Berlin,Berlin,,52.5170365,13.3888599
9249661,www.wg-gesucht.de/wg-zimmer-in-Berlin-Spandau.9249661.html,26.06.2023,Berlin,Muster Str. 1,5,,,,16,2023-06-27,2023-06-29,20230424,5000,0,0.3125,26.06.2023-5.0-0.3125 Berlin,Berlin,2023-06,52.5170365,13.3888599
10072347,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.10072347.html,26.06.2023,Berlin,Muster Str. 1,875,,,,20,2023-06-29,2023-08-04,20230424,5000,2,43.75,26.06.2023-875.0-43.75 Berlin,Kreuzberg,2023-08,52.4976443,13.411914
9858722,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.9858722.html,26.06.2023,Berlin,Muster Str. 1,600,,,,16,2023-08-01,2023-08-30,20230424,5000,0,37.5,26.06.2023-600.0-37.5 Berlin,Spandau,2023-08,52.535788,13.1977924
9969525,www.wg-gesucht.de/wg-zimmer-in-Berlin.9969525.html,26.06.2023,Berlin,Muster Str. 1,600,,,,19,2023-12-01,2024-03-31,20230424,5000,3,31.57894737,26.06.2023-600.0-31.57894736842105 Berlin,Charlottenburg,2024-03,52.515747,13.3096834
