,Unnamed: 0,index,Link,Posting Date,Location,City,Neighbourhood (Dirty),Address,Pure Rent,Size,Date From,Date To,DataFrame Date,Deposit,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
0,0,9670116,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.9670116.html,13.08.2023,Zimmer von HousingAnywhere*,Zimmervon HousingAnywhere*,Zimmervon HousingAnywhere*,Muster Str. 1,480.0,22,2023-08-14,,20230813,5000,,21.818181818181817,13.08.2023-480.0-21.818181818181817 Zimmervon HousingAnywhere*,Berlin,,52.5170365,13.3888599
1,1,10264948,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.10264948.html,13.08.2023,Zimmer von Spotahome*,Zimmervon Spotahome*,Zimmervon Spotahome*,Muster Str. 1,450.0,13,2023-08-14,,20230813,5000,,34.61538461538461,13.08.2023-450.0-34.61538461538461 Zimmervon Spotahome*,Berlin,,52.5170365,13.3888599
2,2,10391998,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.10391998.html,13.08.2023,"Berlin
                                                                    Friedrichshain-Kreuzberg",Berlin,                                                                   Friedrichshain-Kreuzberg,Muster Str. 1,360.0,17,2023-09-01,2024-03-30,20230813,5000,6.0,21.176470588235293,13.08.2023-360.0-21.176470588235293 Berlin,Friedrichshain,2024-03,52.5122154,13.4502904
3,3,10366015,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.10366015.html,13.08.2023,"Berlin
                                                                    Prenzlauer Berg",Berlin,                                                                   Prenzlauer Berg,Muster Str. 1,700.0,15,2023-08-13,2024-02-13,20230813,5000,6.0,46.666666666666664,13.08.2023-700.0-46.666666666666664 Berlin,Prenzlauer Berg,2024-02,52.5398466,13.4285652
4,4,9767917,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.9767917.html,13.08.2023,"Berlin
                                                                    Schöneberg",Berlin,                                                                   Schöneberg,Muster Str. 1,419.0,16,2023-09-01,2023-12-31,20230813,5000,3.0,26.1875,13.08.2023-419.0-26.1875 Berlin,Schöneberg,2023-12,52.482157,13.3551901
5,5,10391776,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wedding.10391776.html,13.08.2023,"Berlin
                                                                    Neukölln",Berlin,                                                                   Neukölln,Muster Str. 1,700.0,15,2023-09-17,2023-10-22,20230813,5000,1.0,46.666666666666664,13.08.2023-700.0-46.666666666666664 Berlin,Neukölln,2023-10,52.4811497,13.4353501
6,6,10391902,www.wg-gesucht.de/wg-zimmer-in-Berlin-Mariendorf.10391902.html,13.08.2023,"Berlin
                                                                    Friedrichshain",Berlin,                                                                   Friedrichshain,Muster Str. 1,1200.0,20,2023-09-01,,20230813,5000,,60.0,13.08.2023-1200.0-60.0 Berlin,Friedrichshain,,52.5122154,13.4502904
7,7,3693108,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.3693108.html,13.08.2023,"Berlin
                                                                    Wedding",Berlin,                                                                   Wedding,Muster Str. 1,720.0,28,2023-09-01,,20230813,5000,,25.714285714285715,13.08.2023-720.0-25.714285714285715 Berlin,Wedding,,52.550123,13.34197
8,8,10324083,www.wg-gesucht.de/wg-zimmer-in-Berlin-Pankow.10324083.html,13.08.2023,"Berlin
                                                                    Mariendorf",Berlin,                                                                   Mariendorf,Muster Str. 1,700.0,15,2023-08-14,,20230813,5000,,46.666666666666664,13.08.2023-700.0-46.666666666666664 Berlin,Mariendorf,,52.44008,13.3900277
9,9,7016965,www.wg-gesucht.de/wg-zimmer-in-Berlin-Pankow.7016965.html,13.08.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,750.0,25,2023-08-13,2023-09-30,20230813,5000,1.0,30.0,13.08.2023-750.0-30.0 Berlin,Kreuzberg,2023-09,52.4976443,13.411914
10,10,1866441,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.1866441.html,13.08.2023,"Berlin
                                                                    Pankow",Berlin,                                                                   Pankow,Muster Str. 1,500.0,14,2023-08-13,,20230813,5000,,35.714285714285715,13.08.2023-500.0-35.714285714285715 Berlin,Pankow,,52.5979174,13.435316
11,11,6796322,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.6796322.html,13.08.2023,"Berlin
                                                                    Pankow",Berlin,                                                                   Pankow,Muster Str. 1,650.0,20,2023-08-13,,20230813,5000,,32.5,13.08.2023-650.0-32.5 Berlin,Pankow,,52.5979174,13.435316
12,12,6997601,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.6997601.html,13.08.2023,"Berlin
                                                                    Friedrichshain",Berlin,                                                                   Friedrichshain,Muster Str. 1,491.0,17,2023-10-01,2024-07-01,20230813,5000,9.0,28.88235294117647,13.08.2023-491.0-28.88235294117647 Berlin,Friedrichshain,2024-07,52.5122154,13.4502904
13,13,9618090,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9618090.html,13.08.2023,"Berlin
                                                                    Charlottenburg-Wilmersdorf",Berlin,                                                                   Charlottenburg-Wilmersdorf,Muster Str. 1,310.0,17,2023-08-15,,20230813,5000,,18.235294117647058,13.08.2023-310.0-18.235294117647058 Berlin,Charlottenburg,,52.515747,13.3096834
14,14,9972425,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.9972425.html,13.08.2023,"Berlin
                                                                    Friedrichshain",Berlin,                                                                   Friedrichshain,Muster Str. 1,491.0,19,2023-08-13,,20230813,5000,,25.842105263157894,13.08.2023-491.0-25.842105263157894 Berlin,Friedrichshain,,52.5122154,13.4502904
