,Unnamed: 0,Data ID,Link,Posting Date,Location,City,Neighbourhood,Full Address,Address,Miete,Pure rent,Service Charge,Other Charge,Größe,Date From,Date To,DataFrame,Deposit,Rooms,Full Address Lenght,EUR / SQM
0,0,2amkx5y,https://www.immowelt.de/expose/2amkx5y,,,Berlin,Halensee,"WestfÃ¤lische Str 49, Berlin (Halensee)",Westfälische str 49,850.0,850,5000,5000,53.5,,,20230424,5000,2.0,2,15.88785046728972
1,1,2a84n5y,https://www.immowelt.de/expose/2a84n5y,,,Berlin,Pankow,"Paracelsusstr. 17, Berlin (Pankow)",Paracelsusstr. 17,514.02,"514,02",5000,5000,59.68,,,20230424,5000,2.0,2,8.612935656836461
2,2,2aykd5g,https://www.immowelt.de/expose/2aykd5g,,,Berlin,Gropiusstadt,"Johannisthaler Chaussee 433, Berlin (Gropiusstadt)",Johannisthaler chaussee 433,770.0,770,5000,5000,25.0,,,20230424,5000,1.0,2,30.8
3,3,2admx5d,https://www.immowelt.de/expose/2admx5d,,,Berlin,Spandau,"Pembabogen 17, Berlin (Spandau)",Pembabogen 17,1400.0,1.400,5000,5000,78.3,,,20230424,5000,2.0,2,17.879948914431672
4,4,2azb95y,https://www.immowelt.de/expose/2azb95y,,,Berlin,Köpenick,"An der Villa Bolle 3A, Berlin (KÃ¶penick)",An der villa bolle 3a,1532.6,"1.532,60",5000,5000,91.8,,,20230424,5000,4.0,2,16.694989106753813
5,5,2admr5s,https://www.immowelt.de/expose/2admr5s,,,Berlin,Hansaviertel,"Altonaer Str. 25, Berlin (Hansaviertel)",Altonaer str. 25,2000.0,2.000,5000,5000,89.0,,,20230424,5000,3.0,2,22.471910112359552
6,6,2abe45y,https://www.immowelt.de/expose/2abe45y,,,Berlin,Westend,"Kastanienallee 26, Berlin (Westend)",Kastanienallee 26,1500.0,1.500,5000,5000,160.0,,,20230424,5000,5.0,2,9.375
7,7,2avc45y,https://www.immowelt.de/expose/2avc45y,,,Berlin,Mitte,"GartenstraÃe 108, Berlin (Mitte)",Gartenstrße 108,1700.0,1.700,5000,5000,169.5,,,20230424,5000,4.0,2,10.029498525073747
8,8,2aqc45y,https://www.immowelt.de/expose/2aqc45y,,,Berlin,Charlottenburg,"SYBELSTR. 9, Berlin (Charlottenburg)",Sybelstr. 9,2000.0,2.000,5000,5000,312.0,,,20230424,5000,4.0,2,6.410256410256411
9,9,2abc25y,https://www.immowelt.de/expose/2abc25y,,,Berlin,Mitte,"Fehrbelliner Str. 52A, Berlin (Mitte)",Fehrbelliner str. 52a,650.0,650,5000,5000,81.0,,,20230424,5000,3.0,2,8.024691358024691
10,10,2amyu5x,https://www.immowelt.de/expose/2amyu5x,,,Berlin,Schöneberg,"Dennewitzstr. 43, Berlin (SchÃ¶neberg)",Dennewitzstr. 43,2795.0,2.795,5000,5000,103.91,,,20230424,5000,3.0,2,26.898277355403717
11,11,29u6l5h,https://www.immowelt.de/expose/29u6l5h,,,Berlin,Grunewald,Berlin (Grunewald),,4550.0,4.550,5000,5000,200.0,,,20230424,5000,3.5,1,22.75
12,12,2ajtz5r,https://www.immowelt.de/expose/2ajtz5r,,,Berlin,Spandau,"Pembabogen 13, Berlin (Spandau)",Pembabogen 13,1554.0,1.554,5000,5000,88.8,,,20230424,5000,3.0,2,17.5
13,13,288zu56,https://www.immowelt.de/expose/288zu56,,,Berlin,Johannisthal,"Sterndamm 114, Berlin (Johannisthal)",Sterndamm 114,1450.0,1.450,5000,5000,66.0,,,20230424,5000,3.0,2,21.96969696969697
14,14,2atyp5w,https://www.immowelt.de/expose/2atyp5w,,,Berlin,Rudow,Berlin (Rudow),,587.18,"587,18",5000,5000,53.18,,,20230424,5000,2.0,1,11.041368935690109
15,15,24rt552,https://www.immowelt.de/expose/24rt552,,,Berlin,Prenzlauer,Berlin (Prenzlauer Berg),,2000.0,2.000,5000,5000,75.0,,,20230424,5000,3.0,1,26.666666666666668
16,16,2a42t5v,https://www.immowelt.de/expose/2a42t5v,,,Berlin,Wilmersdorf,"Berliner StraÃe 137, Berlin (Wilmersdorf)",Berliner strße 137,1850.0,1.850,5000,5000,79.0,,,20230424,5000,3.0,2,23.417721518987342
17,17,2ekud4r,https://www.immowelt.de/expose/2ekud4r,,,Berlin,Lichterfelde,"Harry-S-Trumanallee 10, Berlin (Lichterfelde)",Harry-s-trumanallee 10,1390.0,1.390,5000,5000,51.5,,,20230424,5000,2.0,2,26.990291262135923
18,18,2amnq5e,https://www.immowelt.de/expose/2amnq5e,,,Berlin,Friedrichshagen,"FÃ¼rstenwalder Damm 371, Berlin (Friedrichshagen)",Füstenwalder damm 371,1500.0,1.500,5000,5000,100.0,,,20230424,5000,3.5,2,15.0
19,19,2a24n5y,https://www.immowelt.de/expose/2a24n5y,,,Berlin,Köpenick,"An der Villa Bolle 1, Berlin (KÃ¶penick)",An der villa bolle 1,1866.01,"1.866,01",5000,5000,109.95,,,20230424,5000,5.0,2,16.97144156434743
20,20,29v365e,https://www.immowelt.de/expose/29v365e,,,Berlin,Friedrichshagen,"MÃ¼ggelseedamm 270, Berlin (Friedrichshagen)",Mügelseedamm 270,8274.6,"8.274,60",5000,5000,275.82,,,20230424,5000,8.0,2,30.000000000000004
21,21,2axt756,https://www.immowelt.de/expose/2axt756,,,Berlin,Köpenick,"Carl-Spindler Str. 11, Berlin (KÃ¶penick)",Carl-spindler str. 11,2292.0,2.292,5000,5000,131.0,,,20230424,5000,3.0,2,17.49618320610687
22,22,29mkb5x,https://www.immowelt.de/expose/29mkb5x,,,Berlin,Steglitz,Berlin (Steglitz),,1480.0,1.480,5000,5000,58.0,,,20230424,5000,1.5,1,25.517241379310345
23,23,2a2vv5u,https://www.immowelt.de/expose/2a2vv5u,,,Berlin,Heinersdorf,Berlin (Heinersdorf),,1400.0,1.400,5000,5000,56.0,,,20230424,5000,2.0,1,25.0
24,24,2a6a35g,https://www.immowelt.de/expose/2a6a35g,,,Berlin,Adlershof,"HackenbergstraÃe 22, Berlin (Adlershof)",Hackenbergstrße 22,2140.0,2.140,5000,5000,85.37,,,20230424,5000,4.0,2,25.06735387138339
25,25,2a4jq5n,https://www.immowelt.de/expose/2a4jq5n,,,Berlin,Kreuzberg,Berlin (Kreuzberg),,3600.0,3.600,5000,5000,164.0,,,20230424,5000,6.0,1,21.951219512195124
26,26,28d8a58,https://www.immowelt.de/expose/28d8a58,,,Berlin,WeiÃensee,"triererstr. 28, Berlin (WeiÃensee)",Triererstr. 28,2100.0,2.100,5000,5000,105.0,,,20230424,5000,4.0,2,20.0
27,27,2acpr5s,https://www.immowelt.de/expose/2acpr5s,,,Berlin,Prenzlauer,"Stargarder Str. 73, Berlin (Prenzlauer Berg)",Stargarder str. 73,1550.0,1.550,5000,5000,59.0,,,20230424,5000,2.0,2,26.271186440677965
28,28,22jt74n,https://www.immowelt.de/expose/22jt74n,,,Berlin,Lichtenberg,"Ernst-Reinke-StraÃe 4, Berlin (Lichtenberg)",Ernst-reinke-strße 4,2190.0,2.190,5000,5000,130.0,,,20230424,5000,4.0,2,16.846153846153847
29,29,2auee5v,https://www.immowelt.de/expose/2auee5v,,,Berlin,Köpenick,"An der Villa Bolle 3, Berlin (KÃ¶penick)",An der villa bolle 3,1865.93,"1.865,93",5000,5000,109.97,,,20230424,5000,5.0,2,16.967627534782213
30,30,2a9pj5r,https://www.immowelt.de/expose/2a9pj5r,,,Berlin,Neukölln,"Karl-Marx-StraÃe 190, Berlin (NeukÃ¶lln)",Karl-marx-strße 190,2630.0,2.630,5000,5000,108.0,,,20230424,5000,3.0,2,24.35185185185185
31,31,2a2lj5r,https://www.immowelt.de/expose/2a2lj5r,,,Berlin,Mitte,"Rosenthaler Str. 45, Berlin (Mitte)",Rosenthaler str. 45,3880.0,3.880,5000,5000,93.0,,,20230424,5000,3.0,2,41.72043010752688
32,32,2ahkj5r,https://www.immowelt.de/expose/2ahkj5r,,,Berlin,Prenzlauer,"RodenbergstraÃe 1, Berlin (Prenzlauer Berg)",Rodenbergstrße 1,3210.0,3.210,5000,5000,129.0,,,20230424,5000,5.0,2,24.88372093023256
33,33,2ajjj5r,https://www.immowelt.de/expose/2ajjj5r,,,Berlin,Mitte,"Rosenthaler Str. 44, Berlin (Mitte)",Rosenthaler str. 44,2750.0,2.750,5000,5000,69.0,,,20230424,5000,2.0,2,39.85507246376812
34,34,2ar8y5u,https://www.immowelt.de/expose/2ar8y5u,,,Berlin,Köpenick,"WendenschloÃstr. 252, Berlin (KÃ¶penick)",Wendenschloãstr. 252,1903.6,"1.903,60",5000,5000,117.63,,,20230424,5000,5.0,2,16.18294652724645
35,35,29rpw5e,https://www.immowelt.de/expose/29rpw5e,,,Berlin,Spandau,Berlin (Spandau),,898.0,898,5000,5000,17.0,,,20230424,5000,1.0,1,52.8235294117647
36,36,2ze9n4g,https://www.immowelt.de/expose/2ze9n4g,,,Berlin,Mitte,"Neue RoÃ Str 17, Berlin (Mitte)",Neue roã str 17,2736.0,2.736,5000,5000,93.1,,,20230424,5000,3.0,2,29.387755102040817
37,37,2a7pg5n,https://www.immowelt.de/expose/2a7pg5n,,,Berlin,Adlershof,"HackenbergstraÃe 22, Berlin (Adlershof)",Hackenbergstrße 22,2260.0,2.260,5000,5000,75.29,,,20230424,5000,3.0,2,30.017266569265505
38,38,2al4g5n,https://www.immowelt.de/expose/2al4g5n,,,Berlin,Adlershof,"HackenbergstraÃe 22, Berlin (Adlershof)",Hackenbergstrße 22,1380.0,1.380,5000,5000,55.14,,,20230424,5000,2.0,2,25.027203482045703
39,39,2akzf5n,https://www.immowelt.de/expose/2akzf5n,,,Berlin,Adlershof,"HackenbergstraÃe 22, Berlin (Adlershof)",Hackenbergstrße 22,1000.0,1.000,5000,5000,39.7,,,20230424,5000,2.0,2,25.188916876574307
40,40,2a8bt5n,https://www.immowelt.de/expose/2a8bt5n,,,Berlin,GrÃ¼nau,"An der Dahme 2, Berlin (GrÃ¼nau)",An der dahme 2,1289.12,"1.289,12",5000,5000,80.57,,,20230424,5000,3.0,2,16.0
41,41,2a6bt5n,https://www.immowelt.de/expose/2a6bt5n,,,Berlin,GrÃ¼nau,"An der Dahme 6, Berlin (GrÃ¼nau)",An der dahme 6,829.85,"829,85",5000,5000,47.42,,,20230424,5000,1.0,2,17.5
42,42,2a3bt5n,https://www.immowelt.de/expose/2a3bt5n,,,Berlin,GrÃ¼nau,"Gaffelsteig 4, Berlin (GrÃ¼nau)",Gaffelsteig 4,832.94,"832,94",5000,5000,49.58,,,20230424,5000,2.0,2,16.799919322307385
43,43,2azat5n,https://www.immowelt.de/expose/2azat5n,,,Berlin,GrÃ¼nau,"Gaffelsteig 4, Berlin (GrÃ¼nau)",Gaffelsteig 4,771.23,"771,23",5000,5000,43.82,,,20230424,5000,1.0,2,17.599954358740302
44,44,2a3t356,https://www.immowelt.de/expose/2a3t356,,,Berlin,GrÃ¼nau,"An der Dahme 6, Berlin (GrÃ¼nau)",An der dahme 6,1608.48,"1.608,48",5000,5000,89.36,,,20230424,5000,3.0,2,18.0
45,45,2axs356,https://www.immowelt.de/expose/2axs356,,,Berlin,GrÃ¼nau,"An der Dahme 6, Berlin (GrÃ¼nau)",An der dahme 6,1493.45,"1.493,45",5000,5000,87.85,,,20230424,5000,4.0,2,17.0
46,46,2ats356,https://www.immowelt.de/expose/2ats356,,,Berlin,GrÃ¼nau,"Gaffelsteig 2, Berlin (GrÃ¼nau)",Gaffelsteig 2,1669.73,"1.669,73",5000,5000,103.71,,,20230424,5000,4.0,2,16.09999035772828
47,47,29d3b5b,https://www.immowelt.de/expose/29d3b5b,,,Berlin,Lichterfelde,"Zerbster Str. 50, Berlin (Lichterfelde)",Zerbster str. 50,1999.8,"1.999,80",5000,5000,165.0,,,20230424,5000,4.5,2,12.12
48,48,289kw5e,https://www.immowelt.de/expose/289kw5e,,,Berlin,Kreuzberg,"Skalitzer Str. 99, Berlin (Kreuzberg)",Skalitzer str. 99,3000.0,3.000,5000,5000,150.0,,,20230424,5000,4.0,2,20.0
49,49,268ya5j,https://www.immowelt.de/expose/268ya5j,,,Berlin,Kreuzberg,"Skalitzer Str. 74 A, Berlin (Kreuzberg)",Skalitzer str. 74 a,2200.0,2.200,5000,5000,77.0,,,20230424,5000,2.0,2,28.571428571428573
50,50,296ej5m,https://www.immowelt.de/expose/296ej5m,,,Berlin,Schöneberg,"GoebenstraÃe 15, Berlin (SchÃ¶neberg)",Goebenstrße 15,6500.0,6.500,5000,5000,66.0,,,20230424,5000,2.0,2,98.48484848484848
51,51,292cj5m,https://www.immowelt.de/expose/292cj5m,,,Berlin,Wilmersdorf,"ZÃ¤hringerstraÃe 31, Berlin (Wilmersdorf)",Zähringerstrße 31,2750.0,2.750,5000,5000,107.0,,,20230424,5000,3.0,2,25.700934579439252
52,52,28a6q5d,https://www.immowelt.de/expose/28a6q5d,,,Berlin,Moabit,"BeusselstraÃe 65, Berlin (Moabit)",Beusselstrße 65,1850.0,1.850,5000,5000,69.0,,,20230424,5000,2.0,2,26.81159420289855
53,53,2854r5n,https://www.immowelt.de/expose/2854r5n,,,Berlin,Moabit,"BeusselstraÃe 65, Berlin (Moabit)",Beusselstrße 65,1900.0,1.900,5000,5000,74.0,,,20230424,5000,2.0,2,25.675675675675677
54,54,27dk75n,https://www.immowelt.de/expose/27dk75n,,,Berlin,Halensee,"KurfÃ¼rstendamm 110, Berlin (Halensee)",Kurfüstendamm 110,2150.0,2.150,5000,5000,56.0,,,20230424,5000,2.0,2,38.392857142857146
55,55,27ylv57,https://www.immowelt.de/expose/27ylv57,,,Berlin,Charlottenburg,"Krumme Str. 54, Berlin (Charlottenburg)",Krumme str. 54,2400.0,2.400,5000,5000,78.0,,,20230424,5000,3.0,2,30.76923076923077
56,56,24n5q5t,https://www.immowelt.de/expose/24n5q5t,,,Berlin,Mitte,"Am KÃ¶llnischen Park 17, Berlin (Mitte)",Am kã¶llnischen park 17,2050.0,2.050,5000,5000,55.0,,,20230424,5000,2.0,2,37.27272727272727
