Data ID,Link,City,Neighbourhood,Full Address,Address,Pure Rent,Service Charge,Other Charge,Size,Date From,Date To,Dataframe Date,Deposit,Rooms,Full Address Lenght,EUR / SQM
2amkx5y,https://www.immowelt.de/expose/2amkx5y,Berlin,Halensee,"WestfÃ¤lische Str 49, Berlin (Halensee)",Westfälische str 49,850,,,53.5,,,20230731,,2,2,15.88785047
2a84n5y,https://www.immowelt.de/expose/2a84n5y,Berlin,Pankow,"Paracelsusstr. 17, Berlin (Pankow)",Paracelsusstr. 17,514.02,,,59.68,,,20230731,,2,2,8.612935657
2aykd5g,https://www.immowelt.de/expose/2aykd5g,Berlin,Gropiusstadt,"Johannisthaler Chaussee 433, Berlin (Gropiusstadt)",Johannisthaler chaussee 433,770,,,25,,,20230731,,1,2,30.8
2admx5d,https://www.immowelt.de/expose/2admx5d,Berlin,Spandau,"Pembabogen 17, Berlin (Spandau)",Pembabogen 17,1400,,,78.3,,,20230731,,2,2,17.87994891
2azb95y,https://www.immowelt.de/expose/2azb95y,Berlin,Köpenick,"An der Villa Bolle 3A, Berlin (KÃ¶penick)",An der villa bolle 3a,1532.6,,,91.8,,,20230731,,4,2,16.69498911
2admr5s,https://www.immowelt.de/expose/2admr5s,Berlin,Hansaviertel,"Altonaer Str. 25, Berlin (Hansaviertel)",Altonaer str. 25,2000,,,89,,,20230731,,3,2,22.47191011
2abe45y,https://www.immowelt.de/expose/2abe45y,Berlin,Westend,"Kastanienallee 26, Berlin (Westend)",Kastanienallee 26,1500,,,160,,,20230731,,5,2,9.375
2avc45y,https://www.immowelt.de/expose/2avc45y,Berlin,Mitte,"GartenstraÃe 108, Berlin (Mitte)",Gartenstrße 108,1700,,,169.5,,,20230731,,4,2,10.02949853
2aqc45y,https://www.immowelt.de/expose/2aqc45y,Berlin,Charlottenburg,"SYBELSTR. 9, Berlin (Charlottenburg)",Sybelstr. 9,2000,,,312,,,20230731,,4,2,6.41025641
2abc25y,https://www.immowelt.de/expose/2abc25y,Berlin,Mitte,"Fehrbelliner Str. 52A, Berlin (Mitte)",Fehrbelliner str. 52a,650,,,81,,,20230731,,3,2,8.024691358
2amyu5x,https://www.immowelt.de/expose/2amyu5x,Berlin,Schöneberg,"Dennewitzstr. 43, Berlin (SchÃ¶neberg)",Dennewitzstr. 43,2795,,,103.91,,,20230731,,3,2,26.89827736
29u6l5h,https://www.immowelt.de/expose/29u6l5h,Berlin,Grunewald,Berlin (Grunewald),,4550,,,200,,,20230731,,3.5,1,22.75
2ajtz5r,https://www.immowelt.de/expose/2ajtz5r,Berlin,Spandau,"Pembabogen 13, Berlin (Spandau)",Pembabogen 13,1554,,,88.8,,,20230731,,3,2,17.5
288zu56,https://www.immowelt.de/expose/288zu56,Berlin,Johannisthal,"Sterndamm 114, Berlin (Johannisthal)",Sterndamm 114,1450,,,66,,,20230731,,3,2,21.96969697
2atyp5w,https://www.immowelt.de/expose/2atyp5w,Berlin,Rudow,Berlin (Rudow),,587.18,,,53.18,,,20230731,,2,1,11.04136894
24rt552,https://www.immowelt.de/expose/24rt552,Berlin,Prenzlauer,Berlin (Prenzlauer Berg),,2000,,,75,,,20230731,,3,1,26.66666667
2a42t5v,https://www.immowelt.de/expose/2a42t5v,Berlin,Wilmersdorf,"Berliner StraÃe 137, Berlin (Wilmersdorf)",Berliner strße 137,1850,,,79,,,20230731,,3,2,23.41772152
2ekud4r,https://www.immowelt.de/expose/2ekud4r,Berlin,Lichterfelde,"Harry-S-Trumanallee 10, Berlin (Lichterfelde)",Harry-s-trumanallee 10,1390,,,51.5,,,20230731,,2,2,26.99029126
2amnq5e,https://www.immowelt.de/expose/2amnq5e,Berlin,Friedrichshagen,"FÃ¼rstenwalder Damm 371, Berlin (Friedrichshagen)",Füstenwalder damm 371,1500,,,100,,,20230731,,3.5,2,15
2a24n5y,https://www.immowelt.de/expose/2a24n5y,Berlin,Köpenick,"An der Villa Bolle 1, Berlin (KÃ¶penick)",An der villa bolle 1,1866.01,,,109.95,,,20230731,,5,2,16.97144156
29v365e,https://www.immowelt.de/expose/29v365e,Berlin,Friedrichshagen,"MÃ¼ggelseedamm 270, Berlin (Friedrichshagen)",Mügelseedamm 270,8274.6,,,275.82,,,20230731,,8,2,30
2axt756,https://www.immowelt.de/expose/2axt756,Berlin,Köpenick,"Carl-Spindler Str. 11, Berlin (KÃ¶penick)",Carl-spindler str. 11,2292,,,131,,,20230731,,3,2,17.49618321
29mkb5x,https://www.immowelt.de/expose/29mkb5x,Berlin,Steglitz,Berlin (Steglitz),,1480,,,58,,,20230731,,1.5,1,25.51724138
2a2vv5u,https://www.immowelt.de/expose/2a2vv5u,Berlin,Heinersdorf,Berlin (Heinersdorf),,1400,,,56,,,20230731,,2,1,25
2a6a35g,https://www.immowelt.de/expose/2a6a35g,Berlin,Adlershof,"HackenbergstraÃe 22, Berlin (Adlershof)",Hackenbergstrße 22,2140,,,85.37,,,20230731,,4,2,25.06735387
2a4jq5n,https://www.immowelt.de/expose/2a4jq5n,Berlin,Kreuzberg,Berlin (Kreuzberg),,3600,,,164,,,20230731,,6,1,21.95121951
28d8a58,https://www.immowelt.de/expose/28d8a58,Berlin,WeiÃensee,"triererstr. 28, Berlin (WeiÃensee)",Triererstr. 28,2100,,,105,,,20230731,,4,2,20
2acpr5s,https://www.immowelt.de/expose/2acpr5s,Berlin,Prenzlauer,"Stargarder Str. 73, Berlin (Prenzlauer Berg)",Stargarder str. 73,1550,,,59,,,20230731,,2,2,26.27118644
22jt74n,https://www.immowelt.de/expose/22jt74n,Berlin,Lichtenberg,"Ernst-Reinke-StraÃe 4, Berlin (Lichtenberg)",Ernst-reinke-strße 4,2190,,,130,,,20230731,,4,2,16.84615385
2auee5v,https://www.immowelt.de/expose/2auee5v,Berlin,Köpenick,"An der Villa Bolle 3, Berlin (KÃ¶penick)",An der villa bolle 3,1865.93,,,109.97,,,20230731,,5,2,16.96762753
2a9pj5r,https://www.immowelt.de/expose/2a9pj5r,Berlin,Neukölln,"Karl-Marx-StraÃe 190, Berlin (NeukÃ¶lln)",Karl-marx-strße 190,2630,,,108,,,20230731,,3,2,24.35185185
2a2lj5r,https://www.immowelt.de/expose/2a2lj5r,Berlin,Mitte,"Rosenthaler Str. 45, Berlin (Mitte)",Rosenthaler str. 45,3880,,,93,,,20230731,,3,2,41.72043011
2ahkj5r,https://www.immowelt.de/expose/2ahkj5r,Berlin,Prenzlauer,"RodenbergstraÃe 1, Berlin (Prenzlauer Berg)",Rodenbergstrße 1,3210,,,129,,,20230731,,5,2,24.88372093
2ajjj5r,https://www.immowelt.de/expose/2ajjj5r,Berlin,Mitte,"Rosenthaler Str. 44, Berlin (Mitte)",Rosenthaler str. 44,2750,,,69,,,20230731,,2,2,39.85507246
2ar8y5u,https://www.immowelt.de/expose/2ar8y5u,Berlin,Köpenick,"WendenschloÃstr. 252, Berlin (KÃ¶penick)",Wendenschloãstr. 252,1903.6,,,117.63,,,20230731,,5,2,16.18294653
29rpw5e,https://www.immowelt.de/expose/29rpw5e,Berlin,Spandau,Berlin (Spandau),,898,,,17,,,20230731,,1,1,52.82352941
2ze9n4g,https://www.immowelt.de/expose/2ze9n4g,Berlin,Mitte,"Neue RoÃ Str 17, Berlin (Mitte)",Neue roã str 17,2736,,,93.1,,,20230731,,3,2,29.3877551
2a7pg5n,https://www.immowelt.de/expose/2a7pg5n,Berlin,Adlershof,"HackenbergstraÃe 22, Berlin (Adlershof)",Hackenbergstrße 22,2260,,,75.29,,,20230731,,3,2,30.01726657
2al4g5n,https://www.immowelt.de/expose/2al4g5n,Berlin,Adlershof,"HackenbergstraÃe 22, Berlin (Adlershof)",Hackenbergstrße 22,1380,,,55.14,,,20230731,,2,2,25.02720348
2akzf5n,https://www.immowelt.de/expose/2akzf5n,Berlin,Adlershof,"HackenbergstraÃe 22, Berlin (Adlershof)",Hackenbergstrße 22,1000,,,39.7,,,20230731,,2,2,25.18891688
2a8bt5n,https://www.immowelt.de/expose/2a8bt5n,Berlin,GrÃ¼nau,"An der Dahme 2, Berlin (GrÃ¼nau)",An der dahme 2,1289.12,,,80.57,,,20230731,,3,2,16
2a6bt5n,https://www.immowelt.de/expose/2a6bt5n,Berlin,GrÃ¼nau,"An der Dahme 6, Berlin (GrÃ¼nau)",An der dahme 6,829.85,,,47.42,,,20230731,,1,2,17.5
2a3bt5n,https://www.immowelt.de/expose/2a3bt5n,Berlin,GrÃ¼nau,"Gaffelsteig 4, Berlin (GrÃ¼nau)",Gaffelsteig 4,832.94,,,49.58,,,20230731,,2,2,16.79991932
2azat5n,https://www.immowelt.de/expose/2azat5n,Berlin,GrÃ¼nau,"Gaffelsteig 4, Berlin (GrÃ¼nau)",Gaffelsteig 4,771.23,,,43.82,,,20230731,,1,2,17.59995436
2a3t356,https://www.immowelt.de/expose/2a3t356,Berlin,GrÃ¼nau,"An der Dahme 6, Berlin (GrÃ¼nau)",An der dahme 6,1608.48,,,89.36,,,20230731,,3,2,18
2axs356,https://www.immowelt.de/expose/2axs356,Berlin,GrÃ¼nau,"An der Dahme 6, Berlin (GrÃ¼nau)",An der dahme 6,1493.45,,,87.85,,,20230731,,4,2,17
2ats356,https://www.immowelt.de/expose/2ats356,Berlin,GrÃ¼nau,"Gaffelsteig 2, Berlin (GrÃ¼nau)",Gaffelsteig 2,1669.73,,,103.71,,,20230731,,4,2,16.09999036
29d3b5b,https://www.immowelt.de/expose/29d3b5b,Berlin,Lichterfelde,"Zerbster Str. 50, Berlin (Lichterfelde)",Zerbster str. 50,1999.8,,,165,,,20230731,,4.5,2,12.12
289kw5e,https://www.immowelt.de/expose/289kw5e,Berlin,Kreuzberg,"Skalitzer Str. 99, Berlin (Kreuzberg)",Skalitzer str. 99,3000,,,150,,,20230731,,4,2,20
268ya5j,https://www.immowelt.de/expose/268ya5j,Berlin,Kreuzberg,"Skalitzer Str. 74 A, Berlin (Kreuzberg)",Skalitzer str. 74 a,2200,,,77,,,20230731,,2,2,28.57142857
296ej5m,https://www.immowelt.de/expose/296ej5m,Berlin,Schöneberg,"GoebenstraÃe 15, Berlin (SchÃ¶neberg)",Goebenstrße 15,6500,,,66,,,20230731,,2,2,98.48484848
292cj5m,https://www.immowelt.de/expose/292cj5m,Berlin,Wilmersdorf,"ZÃ¤hringerstraÃe 31, Berlin (Wilmersdorf)",Zähringerstrße 31,2750,,,107,,,20230731,,3,2,25.70093458
28a6q5d,https://www.immowelt.de/expose/28a6q5d,Berlin,Moabit,"BeusselstraÃe 65, Berlin (Moabit)",Beusselstrße 65,1850,,,69,,,20230731,,2,2,26.8115942
2854r5n,https://www.immowelt.de/expose/2854r5n,Berlin,Moabit,"BeusselstraÃe 65, Berlin (Moabit)",Beusselstrße 65,1900,,,74,,,20230731,,2,2,25.67567568
27dk75n,https://www.immowelt.de/expose/27dk75n,Berlin,Halensee,"KurfÃ¼rstendamm 110, Berlin (Halensee)",Kurfüstendamm 110,2150,,,56,,,20230731,,2,2,38.39285714
27ylv57,https://www.immowelt.de/expose/27ylv57,Berlin,Charlottenburg,"Krumme Str. 54, Berlin (Charlottenburg)",Krumme str. 54,2400,,,78,,,20230731,,3,2,30.76923077
24n5q5t,https://www.immowelt.de/expose/24n5q5t,Berlin,Mitte,"Am KÃ¶llnischen Park 17, Berlin (Mitte)",Am kã¶llnischen park 17,2050,,,55,,,20230731,,2,2,37.27272727
2axxl5w,https://www.immowelt.de/expose/2axxl5w,Berlin,Lichterfelde,"SeehofstraÃe 133, Berlin (Lichterfelde)",Seehofstrße 133,2525,,,101,,,20230731,,4,2,25
2fl7c4d,https://www.immowelt.de/expose/2fl7c4d,Berlin,Mitte,"Habersaathstr. 52, Berlin (Mitte)",Habersaathstr. 52,1200,,,73,,,20230731,,2,2,16.43835616
2atcn5s,https://www.immowelt.de/expose/2atcn5s,Berlin,Köpenick,Berlin (KÃ¶penick),,1350,,,66.22,,,20230731,,2,1,20.38659015
2agba5s,https://www.immowelt.de/expose/2agba5s,Berlin,GrÃ¼nau,Berlin (GrÃ¼nau),,1350,,,66.22,,,20230731,,2,1,20.38659015
2aq2s5r,https://www.immowelt.de/expose/2aq2s5r,Berlin,Friedrichshagen,Berlin (Friedrichshagen),,1350,,,66.22,,,20230731,,2,1,20.38659015
2a22j5q,https://www.immowelt.de/expose/2a22j5q,Berlin,Friedrichshain,Berlin (Friedrichshain),,3699,,,148.94,,,20230731,,4,1,24.83550423
2ayzh5q,https://www.immowelt.de/expose/2ayzh5q,Berlin,Friedrichshain,Berlin (Friedrichshain),,1872.25,,,74.89,,,20230731,,2,1,25
2a3j959,https://www.immowelt.de/expose/2a3j959,Berlin,Köpenick,"BahnhofstraÃe 16, Berlin (KÃ¶penick)",Bahnhofstrße 16,1600,,,100.75,,,20230731,,4,2,15.8808933
2a6rj58,https://www.immowelt.de/expose/2a6rj58,Berlin,Mitte,"Unter den Linden 39, Berlin (Mitte)",Unter den linden 39,2364,,,78.8,,,20230731,,2,2,30
29zts5z,https://www.immowelt.de/expose/29zts5z,Berlin,WeiÃensee,"Rennbahnstrasse 26, Berlin (WeiÃensee)",Rennbahnstrasse 26,2605,,,171,,,20230731,,5,2,15.23391813
297495m,https://www.immowelt.de/expose/297495m,Berlin,Karolinenhof,Berlin (Karolinenhof),,0,,,190,,,20230731,,,1,0
29f7u59,https://www.immowelt.de/expose/29f7u59,Berlin,Spandau,Berlin (Spandau),,0,,,70,,,20230731,,1,1,0
2as5y5z,https://www.immowelt.de/expose/2as5y5z,Berlin,Kreuzberg,"Stallschreiber StraÃe 27, Berlin (Kreuzberg)",Stallschreiber strße 27,2945,,,177,,,20230731,,4,2,16.63841808
2a63y5z,https://www.immowelt.de/expose/2a63y5z,Berlin,Moabit,"Birkenstr. 56, Berlin (Moabit)",Birkenstr. 56,458.71,,,42.08,,,20230731,,1,2,10.90090304
2aqwx5z,https://www.immowelt.de/expose/2aqwx5z,Berlin,Alt-Hohenschönhausen,"SeddinerstaÃe 1, Berlin (Alt-HohenschÃ¶nhausen)",Seddinerstße 1,892,,,73.15,,,20230731,,2,2,12.19412167
2a2nx5z,https://www.immowelt.de/expose/2a2nx5z,Berlin,Buckow,"Mollnerweg 34, Berlin (Buckow)",Mollnerweg 34,838.57,,,86.54,,,20230731,,4,2,9.689969956
2ajjx5z,https://www.immowelt.de/expose/2ajjx5z,Berlin,Buckow,"Mollnerweg 34, Berlin (Buckow)",Mollnerweg 34,312,,,48,,,20230731,,1,2,6.5
2argx5z,https://www.immowelt.de/expose/2argx5z,Berlin,Buckow,"HeidelÃ¤uferweg 53, Berlin (Buckow)",Heideläuferweg 53,405.89,,,60.58,,,20230731,,2,2,6.700066028
2a97x5z,https://www.immowelt.de/expose/2a97x5z,Berlin,Spandau,"Blasewitzer Ring 36, Berlin (Spandau)",Blasewitzer ring 36,506.21,,,66.25,,,20230731,,2,2,7.64090566
2aqcw5z,https://www.immowelt.de/expose/2aqcw5z,Berlin,Moabit,"Bremer Str. 12, Berlin (Moabit)",Bremer str. 12,436.97,,,30.73,,,20230731,,1,2,14.21965506
2ancw5z,https://www.immowelt.de/expose/2ancw5z,Berlin,Moabit,"Bremer Str. 11, Berlin (Moabit)",Bremer str. 11,436.97,,,25.11,,,20230731,,1,2,17.40223019
2agcw5z,https://www.immowelt.de/expose/2agcw5z,Berlin,Hellersdorf,"Zossener StraÃe 152, Berlin (Hellersdorf)",Zossener strße 152,472.2,,,42.35,,,20230731,,1,2,11.14994097
2adcw5z,https://www.immowelt.de/expose/2adcw5z,Berlin,Hellersdorf,"Zossener StraÃe 152, Berlin (Hellersdorf)",Zossener strße 152,353.01,,,36.43,,,20230731,,1,2,9.690090585
2aq3v5z,https://www.immowelt.de/expose/2aq3v5z,Berlin,Buchholz,"Rosenthaler Weg 18, Berlin (Buchholz)",Rosenthaler weg 18,679,,,45.64,,,20230731,,2,2,14.87730061
2am4u5z,https://www.immowelt.de/expose/2am4u5z,Berlin,Mariendorf,Berlin (Mariendorf),,561,,,51,,,20230731,,2,1,11
2aeuq5z,https://www.immowelt.de/expose/2aeuq5z,Berlin,Mitte,"Templiner Str. 17, Berlin (Mitte)",Templiner str. 17,3125,,,155,,,20230731,,5,2,20.16129032
2akus5z,https://www.immowelt.de/expose/2akus5z,Berlin,Lichtenrade,"GroÃ-Ziethener-Str. 90, Berlin (Lichtenrade)",Groã-ziethener-str. 90,376.04,,,43.01,,,20230731,,1,2,8.743083004
2alvr5z,https://www.immowelt.de/expose/2alvr5z,Berlin,Lichtenrade,"Nahariyastr. 25, Berlin (Lichtenrade)",Nahariyastr. 25,808.9,,,96.97,,,20230731,,3.5,2,8.341755182
2afrr5z,https://www.immowelt.de/expose/2afrr5z,Berlin,Lichtenrade,"GroÃ-Ziethener-Str. 90, Berlin (Lichtenrade)",Groã-ziethener-str. 90,485.87,,,55.56,,,20230731,,2,2,8.744960403
2aygr5z,https://www.immowelt.de/expose/2aygr5z,Berlin,Hellersdorf,"Alte Hellersdorfer StraÃe 108N, Berlin (Hellersdorf)",Alte hellersdorfer strße 108n,349.9,,,53.83,,,20230731,,2,2,6.500092885
2aeer5z,https://www.immowelt.de/expose/2aeer5z,Berlin,Köpenick,"Stellingdamm 2, Berlin (KÃ¶penick)",Stellingdamm 2,612.15,,,40.81,,,20230731,,1,2,15
2a8dr5z,https://www.immowelt.de/expose/2a8dr5z,Berlin,Köpenick,"Stellingdamm 2, Berlin (KÃ¶penick)",Stellingdamm 2,723.75,,,48.25,,,20230731,,1,2,15
2ahsq5z,https://www.immowelt.de/expose/2ahsq5z,Berlin,Lichtenrade,"Skarbinastr. 84, Berlin (Lichtenrade)",Skarbinastr. 84,544.67,,,63.89,,,20230731,,2,2,8.525121302
2a5qp5z,https://www.immowelt.de/expose/2a5qp5z,Berlin,Westend,"Bayernallee 3, Berlin (Westend)",Bayernallee 3,1049,,,37,,,20230731,,1,2,28.35135135
2a7zy5t,https://www.immowelt.de/expose/2a7zy5t,Berlin,Wilmersdorf,Berlin (Wilmersdorf),,2300,,,90,,,20230731,,3,1,25.55555556
28sgx5e,https://www.immowelt.de/expose/28sgx5e,Berlin,Friedrichshain,"Ehrenbergstr. 5, Berlin (Friedrichshain)",Ehrenbergstr. 5,2800,,,93,,,20230731,,3,2,30.10752688
2aynj5z,https://www.immowelt.de/expose/2aynj5z,Berlin,Oberschöneweide,Berlin (OberschÃ¶neweide),,1221,,,74,,,20230731,,2,1,16.5
2atnj5z,https://www.immowelt.de/expose/2atnj5z,Berlin,Wilmersdorf,Berlin (Wilmersdorf),,1900,,,57,,,20230731,,2,1,33.33333333
2al6h5z,https://www.immowelt.de/expose/2al6h5z,Berlin,Westend,Berlin (Westend),,2090,,,104,,,20230731,,4,1,20.09615385
2ansg5z,https://www.immowelt.de/expose/2ansg5z,Berlin,Pankow,Berlin (Pankow),,950,,,45,,,20230731,,1,1,21.11111111
2ajuu5z,https://www.immowelt.de/expose/2ajuu5z,Berlin,Oberschöneweide,Berlin (OberschÃ¶neweide),,581,,,13.2,,,20230731,,1,1,44.01515152
2a77g5z,https://www.immowelt.de/expose/2a77g5z,Berlin,Kaulsdorf,"Hellersdorfer StraÃe 103, Berlin (Kaulsdorf)",Hellersdorfer strße 103,950,,,83.88,,,20230731,,3,2,11.32570339
2afza5t,https://www.immowelt.de/expose/2afza5t,Berlin,Mitte,Berlin (Mitte),,1050,,,60,,,20230731,,3,1,17.5
2a5qc5z,https://www.immowelt.de/expose/2a5qc5z,Berlin,Prenzlauer,Berlin (Prenzlauer Berg),,2127.84,,,96.72,,,20230731,,3,1,22
2a8z95z,https://www.immowelt.de/expose/2a8z95z,Berlin,Siemensstadt,Berlin (Siemensstadt),,690,,,50,,,20230731,,2,1,13.8
2aq785z,https://www.immowelt.de/expose/2aq785z,Berlin,Britz,Berlin (Britz),,470,,,54,,,20230731,,2,1,8.703703704
2w2c54v,https://www.immowelt.de/expose/2w2c54v,Berlin,Rudow,"Krokusstr. 2a, Berlin (Rudow)",Krokusstr. 2a,1265,,,75.65,,,20230731,,2,2,16.72174488
2a5375z,https://www.immowelt.de/expose/2a5375z,Berlin,Tiergarten,"SchÃ¶neberger Ufer 63, Berlin (Tiergarten)",Schã¶neberger ufer 63,700,,,,,,20230731,,,2,
2as255z,https://www.immowelt.de/expose/2as255z,Berlin,Mitte,"Rostocker Street 3, Berlin (Mitte)",Rostocker street 3,1350,,,75,,,20230731,,2,2,18
2awe35z,https://www.immowelt.de/expose/2awe35z,Berlin,LÃ¼bars,"Zehntwerderweg 148, Berlin (LÃ¼bars)",Zehntwerderweg 148,1081,,,56.88,,,20230731,,2,2,19.00492264
2ate35z,https://www.immowelt.de/expose/2ate35z,Berlin,LÃ¼bars,"Zehntwerderweg 148, Berlin (LÃ¼bars)",Zehntwerderweg 148,783,,,41.17,,,20230731,,1,2,19.01870294
2a6d35z,https://www.immowelt.de/expose/2a6d35z,Berlin,LÃ¼bars,Berlin (LÃ¼bars),,1226,,,64.52,,,20230731,,3,1,19.00185989
2as835z,https://www.immowelt.de/expose/2as835z,Berlin,Spandau,"Wilhelmstr, 147, Berlin (Spandau)",Wilhelmstr 147,762.7,,,52.6,,,20230731,,2,3,14.5
2acgz5y,https://www.immowelt.de/expose/2acgz5y,Berlin,Prenzlauer,Berlin (Prenzlauer Berg),,836,,,78,,,20230731,,2.5,1,10.71794872
2ajzy5y,https://www.immowelt.de/expose/2ajzy5y,Berlin,Charlottenburg,Berlin (Charlottenburg),,2150,,,79.51,,,20230731,,2,1,27.04062382
2a9tx5y,https://www.immowelt.de/expose/2a9tx5y,Berlin,Alt-Hohenschönhausen,"GroÃe-Leege-StraÃe 50 A, Berlin (Alt-HohenschÃ¶nhausen)",Groãe-leege-strße 50 a,899,,,55.78,,,20230731,,2,2,16.11688777
2a7tx5y,https://www.immowelt.de/expose/2a7tx5y,Berlin,Hellersdorf,"Stendaler StraÃe 63, Berlin (Hellersdorf)",Stendaler strße 63,629,,,53.98,,,20230731,,2,2,11.65246388
2atqx5y,https://www.immowelt.de/expose/2atqx5y,Berlin,Hellersdorf,"Stendaler StraÃe 63, Berlin (Hellersdorf)",Stendaler strße 63,499,,,35.69,,,20230731,,1,2,13.98150743
2agbx5y,https://www.immowelt.de/expose/2agbx5y,Berlin,Hellersdorf,"Kastanienallee 86, Berlin (Hellersdorf)",Kastanienallee 86,649,,,55.98,,,20230731,,2,2,11.59342622
2am2w5y,https://www.immowelt.de/expose/2am2w5y,Berlin,Schöneberg,Berlin (SchÃ¶neberg),,750,,,60,,,20230731,,3,1,12.5
2amlv5y,https://www.immowelt.de/expose/2amlv5y,Berlin,GrÃ¼nau,"RegattastraÃe 39, Berlin (GrÃ¼nau)",Regattastrße 39,1370,,,85.62,,,20230731,,4,2,16.00093436
2ae2s5y,https://www.immowelt.de/expose/2ae2s5y,Berlin,Oberschöneweide,"Wilhelminenhofstr. 14, Berlin (OberschÃ¶neweide)",Wilhelminenhofstr. 14,845,,,51.44,,,20230731,,,2,16.42690513
